"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"rlang","rlang","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.1",NA,"R (>= 3.5.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rlist","rlist","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.6.2",NA,"R (>= 2.15)","yaml, jsonlite, XML, data.table",NA,"testthat, stringdist",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rly","rly","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.4",NA,"R (>= 3.3.0)","R6, futile.logger",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rmarkdown","rmarkdown","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.24",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), fontawesome (>=
0.5.0), htmltools (>= 0.5.1), jquerylib, jsonlite, knitr (>=
1.22), methods, stringr (>= 1.2.0), tinytex (>= 0.31), tools,
utils, xfun (>= 0.36), yaml (>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, vctrs, cleanrmd, withr (>= 2.4.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"rmeta","rmeta","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.0",NA,NA,"grid, stats, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"RMySQL","RMySQL","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.10.25",NA,"R (>= 2.8.0), DBI (>= 0.4)","methods",NA,"testthat, curl",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"rngtools","rngtools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.2",NA,"R (>= 3.2.0), methods","digest, utils, stats, parallel",NA,"covr, RUnit, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"RNOmni","RNOmni","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1.2",NA,"R (>= 3.2.2)","plyr, Rcpp, stats","Rcpp, RcppArmadillo","testthat (>= 3.0.0), withr, R.rsp",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"robustbase","robustbase","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.99-0",NA,"R (>= 3.5.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt","robustX, rrcov, matrixStats, quantreg, Hmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"ROCR","ROCR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0-11",NA,"R (>= 3.6)","methods, graphics, grDevices, gplots, stats",NA,"testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"roxygen2","roxygen2","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","7.2.3",NA,"R (>= 3.3)","brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), knitr,
methods, pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2),
rlang (>= 1.0.6), stringi, stringr (>= 1.0.0), utils, withr,
xml2","cpp11","covr, R.methodsS3, R.oo, rmarkdown (>= 2.16), testthat (>=
3.1.2), yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rpart","rpart","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.1.19","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"RPostgres","RPostgres","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.5",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), hms (>= 1.0.0),
lubridate, methods, Rcpp (>= 1.0.7), withr","plogr (>= 0.2.0), Rcpp","callr, covr, DBItest (>= 1.7.2.9001), knitr, rmarkdown,
testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"RPostgreSQL","RPostgreSQL","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.7-5",NA,"R (>= 2.9.0), methods, DBI (>= 0.3)",NA,NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rprojroot","rprojroot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.3",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rsample","rsample","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,"R (>= 3.6)","cli, dplyr (>= 1.1.1), furrr, generics, glue, lifecycle,
methods, pillar, purrr (>= 1.0.0), rlang (>= 0.4.10), slider
(>= 0.1.5), tibble, tidyr, tidyselect, vctrs (>= 0.5.0)",NA,"broom, covr, ggplot2, knitr, modeldata, recipes (>= 0.1.4),
rmarkdown, stats, testthat (>= 3.0.0), utils, whisker, withr,
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"Rsamtools","Rsamtools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.14.0",NA,"methods, GenomeInfoDb (>= 1.1.3), GenomicRanges (>= 1.31.8),
Biostrings (>= 2.47.6), R (>= 3.5.0)","utils, BiocGenerics (>= 0.25.1), S4Vectors (>= 0.17.25),
IRanges (>= 2.13.12), XVector (>= 0.19.7), zlibbioc, bitops,
BiocParallel, stats","Rhtslib (>= 1.99.3), S4Vectors, IRanges, XVector, Biostrings","GenomicAlignments, ShortRead (>= 1.19.10), GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg18.knownGene, RNAseqData.HNRNPC.bam.chr14,
BSgenome.Hsapiens.UCSC.hg19, RUnit, BiocStyle",NA,"Artistic-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"RSpectra","RSpectra","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.16-1",NA,"R (>= 3.0.2)","Matrix (>= 1.1-0), Rcpp (>= 0.11.5)","Rcpp, RcppEigen (>= 0.3.3.3.0)","knitr, rmarkdown, prettydoc",NA,"MPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RSQLite","RSQLite","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3.1",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig","plogr (>= 0.2.0), cpp11 (>= 0.4.0)","callr, DBItest (>= 1.7.2.9001), gert, gh, hms, knitr,
magrittr, rmarkdown, rvest, testthat (>= 3.0.0), withr, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.2.0"
"rstatix","rstatix","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.7.2",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.2.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"rstudioapi","rstudioapi","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.15.0",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rsvd","rsvd","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.5",NA,"R (>= 4.0.0)","Matrix",NA,"ggplot2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"rsvg","rsvg","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4.0",NA,NA,NA,NA,"ggplot2, knitr, magick, rmarkdown, spelling, svglite, webp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rtracklayer","rtracklayer","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.58.0",NA,"R (>= 3.5.0), methods, GenomicRanges (>= 1.37.2)","XML (>= 1.98-0), BiocGenerics (>= 0.35.3), S4Vectors (>=
0.23.18), IRanges (>= 2.13.13), XVector (>= 0.19.7),
GenomeInfoDb (>= 1.15.2), Biostrings (>= 2.47.6), zlibbioc,
RCurl (>= 1.4-2), Rsamtools (>= 1.31.2), GenomicAlignments (>=
1.15.6), BiocIO, tools, restfulr (>= 0.0.13)","S4Vectors, IRanges, XVector","BSgenome (>= 1.33.4), humanStemCell, microRNA (>= 1.1.1),
genefilter, limma, org.Hs.eg.db, hgu133plus2.db,
GenomicFeatures, BSgenome.Hsapiens.UCSC.hg19,
TxDb.Hsapiens.UCSC.hg19.knownGene, RUnit",NA,"Artistic-2.0 + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"Rtsne","Rtsne","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.16",NA,NA,"Rcpp (>= 0.11.0), stats","Rcpp","irlba, testthat",NA,"file LICENSE","yes",NA,NA,NA,"yes","4.2.0"
"Rttf2pt1","Rttf2pt1","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.12",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.2.0"
"RVenn","RVenn","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.0",NA,NA,"ggforce (>= 0.2.1), ggplot2 (>= 3.0.0), magrittr (>= 1.5),
purrr (>= 0.2.5), methods (>= 3.5.1), rlang (>= 0.2.2), vegan
(>= 2.5.2), pheatmap (>= 1.0.10)",NA,"testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"rversions","rversions","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"covr, mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"rvest","rvest","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.3",NA,"R (>= 3.2)","glue, cli, httr (>= 0.5), lifecycle (>= 1.0.0), magrittr,
rlang (>= 1.0.0), selectr, tibble, xml2 (>= 1.3), withr",NA,"covr, knitr, readr, repurrrsive, rmarkdown, spelling, stringi
(>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"s2","s2","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.4",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.6.0)","Rcpp, wk","bit64, testthat (>= 3.0.0), vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.2.0"
"S4Vectors","S4Vectors","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.36.2",NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.37.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.2"
"safe","safe","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.38.0",NA,"R (>= 2.4.0), AnnotationDbi, Biobase, methods, SparseM",NA,NA,"GO.db, PFAM.db, reactome.db, hgu133a.db, breastCancerUPP,
survival, foreach, doRNG, Rgraphviz, GOstats",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"sandwich","sandwich","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.0-2",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lme4, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"sass","sass","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.7",NA,NA,"fs (>= 1.2.4), rlang (>= 0.4.10), htmltools (>= 0.5.1), R6,
rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ScaledMatrix","ScaledMatrix","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.0",NA,NA,"methods, Matrix, S4Vectors, DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, BiocSingular",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"scales","scales","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"scattermore","scattermore","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2",NA,NA,"ggplot2, scales, grid, grDevices, graphics",NA,"covr, knitr, rmarkdown, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"scatterpie","scatterpie","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.1",NA,"R (>= 4.1.0), ggplot2","ggforce, rlang, ggfun, stats, tidyr, dplyr, utils",NA,"knitr, rmarkdown, prettydoc, maps, scales",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"scatterplot3d","scatterplot3d","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3-44",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"sccore","sccore","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.4",NA,"R (>= 3.5.0)","dplyr, ggplot2, ggrepel, graphics, grDevices, igraph, irlba,
magrittr, Matrix, methods, parallel, pbmcapply, pROC, Rcpp,
rlang, scales, stats, tibble, utils, uwot, withr","Rcpp, RcppArmadillo, RcppProgress, RcppEigen","ggrastr (>= 0.1.7), jsonlite, rmumps, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"sceasy","sceasy","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.0.7",NA,"R (>= 3.5.1), reticulate",NA,NA,"Seurat (>= 3.0.1), SingleCellExperiment (>= 1.4.0),
LoomExperiment (>= 1.1.5), monocle3 (>= 0.2.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"SCENIC","SCENIC","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.1",NA,NA,"data.table, GENIE3 (>= 1.10.0), RcisTarget (>= 1.16.0), AUCell
(>= 1.10.0), NMF, dynamicTreeCut, mixtools, Rtsne",NA,"SingleCellExperiment, GEOquery, R2HTML, SCopeLoomR (>=
0.10.1), hdf5r, rbokeh, DT, plotly, BiocStyle, knitr, pheatmap,
rmarkdown","doMC, doRNG","file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"scKirby","scKirby","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.3",NA,"R (>= 3.6.0)","orthogene, echoconda, EWCE, ewceData, data.table, Matrix,
reticulate, S4Vectors, Seurat, SeuratObject, SeuratDisk,
anndata, SummarizedExperiment, SingleCellExperiment,
LoomExperiment, DelayedArray, BiocParallel, parallel,
HDF5Array, tidyr",NA,"rworkflows, rmarkdown, knitr, loomR, sceasy, leidenbase,
speedglm, monocle3, monocle, SCopeLoomR, zellkonverter,
anndataR, future, testthat (>= 3.0.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.1"
"SCopeLoomR","SCopeLoomR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.13.0",NA,NA,"hdf5r, rjson, utils, methods, base, base64enc, igraph, plyr,
rlist, Matrix",NA,"seurat, stringr",NA,"Apache-2",NA,NA,NA,NA,"no","4.2.1"
"SCORPIUS","SCORPIUS","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.9",NA,"R (>= 3.5.0)","dplyr, dynutils (>= 1.0.3), dynwrap, grDevices, ggplot2 (>=
2.0), lmds, MASS, Matrix, mclust, methods, pbapply, pheatmap,
princurve (>= 2.1.4), purrr, ranger, RANN, RColorBrewer,
reshape2, stats, tidyr, TSP",NA,"anndata, covr, knitr, reticulate, rmarkdown, Seurat,
SingleCellExperiment, testthat (>= 2.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"SCPA","SCPA","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.0",NA,"R (>= 3.5.0)","circlize, ComplexHeatmap (>= 2.13.1), dplyr (>= 1.0.9),
ggplot2 (>= 3.3.6), ggrepel (>= 0.9.1), magrittr (>= 2.0.3),
msigdbr (>= 7.5.1), multicross (>= 2.1.0), purrr (>= 0.3.4),
Seurat (>= 4.1.1), stats (>= 4.1.0), stringr (>= 1.4.0), tibble
(>= 3.1.7), tidyr (>= 1.2.0), utils (>= 4.1.0)",NA,"rmarkdown, knitr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.1"
"sctransform","sctransform","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.5",NA,"R (>= 3.5.0)","dplyr, magrittr, MASS, Matrix (>= 1.5.0), methods,
future.apply, future, ggplot2, reshape2, rlang, gridExtra,
matrixStats","RcppArmadillo, Rcpp (>= 0.11.0)","irlba, testthat, knitr","glmGamPoi","GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"scuttle","scuttle","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8.4",NA,"SingleCellExperiment","methods, utils, stats, Matrix, Rcpp, BiocGenerics, S4Vectors,
BiocParallel, GenomicRanges, SummarizedExperiment,
DelayedArray, DelayedMatrixStats, beachmat","Rcpp, beachmat","BiocStyle, knitr, scRNAseq, rmarkdown, testthat, scran",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"segmented","segmented","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6-4",NA,"MASS, nlme",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"selectr","selectr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.2.0"
"seriation","seriation","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.1",NA,"R (>= 2.14.0)","ca, cluster, colorspace, foreach, gclus, grDevices, grid,
MASS, qap, registry, stats, TSP, vegan",NA,"dbscan, DendSer, dendextend, doParallel, GA, ggplot2, keras,
Rtsne, scales, smacof, tensorflow, testthat, umap",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"sessioninfo","sessioninfo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"Seurat","Seurat","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.3.0.1",NA,"R (>= 4.0.0), methods","cluster, cowplot, fitdistrplus, future, future.apply, ggplot2
(>= 3.3.0), ggrepel, ggridges, graphics, grDevices, grid, httr,
ica, igraph, irlba, jsonlite, KernSmooth, leiden (>= 0.3.1),
lmtest, MASS, Matrix (>= 1.5-0), matrixStats, miniUI,
patchwork, pbapply, plotly (>= 4.9.0), png, progressr, RANN,
RColorBrewer, Rcpp (>= 1.0.7), RcppAnnoy (>= 0.0.18),
reticulate, rlang, ROCR, Rtsne, scales, scattermore (>= 0.7),
sctransform (>= 0.3.5), SeuratObject (>= 4.1.3), shiny,
spatstat.explore, spatstat.geom, stats, tibble, tools, utils,
uwot (>= 0.1.14)","Rcpp (>= 0.11.0), RcppEigen, RcppProgress","ape, rsvd, testthat, hdf5r, S4Vectors, SummarizedExperiment,
SingleCellExperiment, MAST, DESeq2, BiocGenerics,
GenomicRanges, GenomeInfoDb, IRanges, rtracklayer, Rfast2,
monocle, Biobase, VGAM, limma, metap, enrichR, mixtools,
ggrastr, data.table, R.utils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"SeuratData","SeuratData","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.2",NA,"R (>= 3.5.0)","cli, crayon, rappdirs, stats, utils",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"SeuratDisk","SeuratDisk","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.0.0.9020",NA,"R (>= 3.6.0)","cli (>= 2.0.1), crayon (>= 1.3.4), hdf5r (>= 1.3.0), Matrix
(>= 1.2.18), methods (>= 3.6.0), R6 (>= 2.4.1), rlang (>=
0.4.4), Seurat (>= 3.2.0), SeuratObject (>= 4.0.0), stats,
stringi (>= 1.4.6), tools, utils, withr (>= 2.1.2)",NA,"httr, knitr, rmarkdown, SeuratData",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"SeuratObject","SeuratObject","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.1.3",NA,"R (>= 4.0.0), sp (>= 1.5.0)","future, future.apply, grDevices, grid, Matrix (>= 1.5.0),
methods, progressr, Rcpp (>= 1.0.5), rlang (>= 0.4.7), stats,
tools, utils","Rcpp, RcppEigen","ggplot2, rgeos, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"SeuratWrappers","SeuratWrappers","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.0",NA,"R (>= 3.5.0)","BiocManager, cowplot, ggplot2, igraph, Matrix, methods,
remotes, rsvd, Seurat (>= 3.0.1), stats, utils, rlang",NA,"cipr, conos, rliger (>= 0.5.0), harmony, batchelor,
SeuratData, SeuratDisk, velocyto.R, schex, tximport, fishpond,
monocle3, CoGAPS, glmpca, Nebulosa, presto, flexmix, tricycle,
Banksy",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"sf","sf","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0-14",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.1.0), stats, tools, units
(>= 0.7-0), utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, Matrix, microbenchmark, odbc, pbapply,
pillar, pool, raster, rlang, rmarkdown, RPostgres (>= 1.1.0),
RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>= 2.0-1),
spatstat.geom, spatstat.random, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat (>= 3.0.0),
tibble (>= 1.4.1), tidyr (>= 1.2.0), tidyselect (>= 1.0.0),
tmap (>= 2.0), vctrs, wk",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"shadowtext","shadowtext","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.2",NA,"R (>= 3.4.0)","ggplot2, grid, scales",NA,"knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"shape","shape","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.6",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"shiny","shiny","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.5",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.1), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.3.0), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, yaml, future, dygraphs, ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"SignatuR","SignatuR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.0",NA,"R(>= 4.1.0)","data.tree, tools",NA,"DiagrammeR",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"SingleCellExperiment","SingleCellExperiment","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.20.1",NA,"SummarizedExperiment","methods, utils, stats, S4Vectors, BiocGenerics, GenomicRanges,
DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, Matrix, scRNAseq (>=
2.9.1), Rtsne",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"sitmo","sitmo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.2",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.13)","Rcpp","knitr, rmarkdown, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"slam","slam","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1-50",NA,"R (>= 3.4.0)","stats",NA,NA,"Matrix, SparseM, spam","GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"slider","slider","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.0",NA,"R (>= 3.4.0)","cli (>= 3.4.1), rlang (>= 1.0.6), vctrs (>= 0.5.0), warp","vctrs (>= 0.5.0)","covr, dplyr (>= 1.0.0), knitr, lubridate, rmarkdown, testthat
(>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"slingshot","slingshot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.6.0",NA,"R (>= 4.0), princurve (>= 2.0.4), stats, TrajectoryUtils","graphics, grDevices, igraph, matrixStats, methods, S4Vectors,
SingleCellExperiment, SummarizedExperiment",NA,"BiocGenerics, BiocStyle, clusterExperiment,
DelayedMatrixStats, knitr, mclust, mgcv, RColorBrewer, rgl,
rmarkdown, testthat, uwot, covr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"sn","sn","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.1",NA,"R (>= 3.0.0), methods, stats4","mnormt (>= 2.0.0), numDeriv, utils, quantreg",NA,"R.rsp",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
